"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","12-Jun-2017","        367.80","        366.90","        371.80","        363.55","        364.50","        365.20","        366.36","    2219230","           813037425.90","      21833","    1363603","         61.44"
"BHARTIARTL","EQ","13-Jun-2017","        365.20","        364.00","        368.50","        362.10","        362.95","        363.20","        364.86","    1133452","           413553759.15","      32176","     583306","         51.46"
"BHARTIARTL","EQ","14-Jun-2017","        363.20","        363.50","        368.55","        361.55","        366.50","        365.50","        364.45","    2107709","           768157657.70","      57594","    1353631","         64.22"
"BHARTIARTL","EQ","15-Jun-2017","        365.50","        365.50","        370.50","        364.45","        364.95","        365.30","        367.15","    2544387","           934183783.60","      28333","    1582532","         62.20"
"BHARTIARTL","EQ","16-Jun-2017","        365.30","        366.00","        367.50","        360.60","        365.00","        364.85","        362.86","    4472274","          1622806902.65","      33192","    3690747","         82.53"
"BHARTIARTL","EQ","19-Jun-2017","        364.85","        364.00","        368.75","        363.25","        367.00","        367.50","        366.48","    1701672","           623631903.75","      18433","    1043084","         61.30"
"BHARTIARTL","EQ","20-Jun-2017","        367.50","        368.75","        370.85","        365.75","        366.50","        366.60","        367.18","    2301754","           845152197.95","      33163","    1625850","         70.64"
"BHARTIARTL","EQ","21-Jun-2017","        366.60","        366.40","        368.20","        364.50","        367.50","        367.30","        366.86","    2654891","           973970713.05","      28640","    1999535","         75.32"
"BHARTIARTL","EQ","22-Jun-2017","        367.30","        367.75","        368.95","        362.50","        363.30","        366.20","        367.45","    6320827","          2322561298.45","      28109","    5598962","         88.58"
"BHARTIARTL","EQ","23-Jun-2017","        366.20","        365.90","        368.55","        363.25","        364.95","        366.20","        365.53","    5120076","          1871543898.35","      42486","    4326511","         84.50"
"BHARTIARTL","EQ","27-Jun-2017","        366.20","        365.00","        375.90","        365.00","        371.05","        371.45","        372.33","    3809540","          1418409358.30","      52304","    2077811","         54.54"
"BHARTIARTL","EQ","28-Jun-2017","        371.45","        374.90","        381.65","        367.50","        378.70","        377.20","        372.97","    3794226","          1415125621.50","      57586","    2351766","         61.98"
"BHARTIARTL","EQ","29-Jun-2017","        377.20","        377.75","        386.35","        377.70","        382.50","        382.45","        382.89","    4234116","          1621181898.85","      34061","    2192774","         51.79"
"BHARTIARTL","EQ","30-Jun-2017","        382.45","        382.45","        383.90","        372.60","        381.10","        379.70","        377.53","    3269881","          1234487809.15","      32968","    2045156","         62.55"
"BHARTIARTL","EQ","03-Jul-2017","        379.70","        381.45","        384.15","        376.80","        381.60","        382.05","        381.42","    1521063","           580163410.80","      15671","     738339","         48.54"
"BHARTIARTL","EQ","04-Jul-2017","        382.05","        383.90","        383.90","        378.10","        379.20","        379.30","        379.82","    1655289","           628705844.55","      21597","     990563","         59.84"
"BHARTIARTL","EQ","05-Jul-2017","        379.30","        377.00","        378.50","        373.35","        376.65","        376.30","        375.40","    2107618","           791197606.65","      20814","    1439189","         68.29"
"BHARTIARTL","EQ","06-Jul-2017","        376.30","        376.55","        382.85","        373.95","        381.20","        381.30","        379.89","    2162556","           821536733.15","      28573","    1129739","         52.24"
"BHARTIARTL","EQ","07-Jul-2017","        381.30","        384.00","        387.55","        383.00","        387.55","        385.90","        385.28","    4371065","          1684069449.30","      37883","    3261760","         74.62"
